price,location,bed,bath,carport,surface_area,building_area
1790000000.0,"Ngaglik, Sleman",3.0,3.0,2.0,120,110
170000000.0,"Jombor, Sleman",3.0,2.0,1.0,102,126
695000000.0,"Berbah, Sleman",2.0,2.0,1.0,100,100
560000000.0,"Prambanan, Sleman",3.0,1.0,1.0,109,67
200000000.0,"Moyudan, Sleman",2.0,1.0,1.0,60,30
1470000000.0,"Depok, Sleman",5.0,3.0,1.0,125,157
560000000.0,"Prambanan, Sleman",3.0,1.0,1.0,109,67
2100000000.0,"Gamping, Sleman",11.0,11.0,2.0,206,290
1600000000.0,"Ngaglik, Sleman",5.0,4.0,2.0,300,200
2400000000.0,"Kaliurang, Yogyakarta",3.0,3.0,1.0,403,220
875000000.0,"Ngaglik, Sleman",3.0,2.0,1.0,145,85
570000000.0,"Ngaglik, Sleman",2.0,1.0,1.0,83,50
300000000.0,"Sedayu, Bantul",2.0,1.0,1.0,60,30
750000000.0,"Ngemplak, Sleman",4.0,2.0,1.0,140,90
1850000000.0,"Ngaglik, Sleman",4.0,4.0,2.0,166,200
745000000.0,"Piyungan, Bantul",3.0,1.0,3.0,209,180
1700000000.0,"Depok, Sleman",4.0,3.0,2.0,169,125
4200000000.0,"Ngemplak, Sleman",4.0,3.0,2.0,480,300
455000000.0,"Umbulharjo, Yogyakarta",2.0,1.0,1.0,61,45
1100000000.0,"Ngaglik, Sleman",4.0,3.0,2.0,171,150
850000000.0,"Godean, Sleman",3.0,2.0,1.0,135,80
3500000000.0,"Depok, Sleman",7.0,7.0,2.0,349,400
1300000000.0,"Umbulharjo, Yogyakarta",3.0,2.0,1.0,134,200
4800000000.0,"Ngaglik, Sleman",13.0,15.0,4.0,235,465
1850000000.0,"Ngaglik, Sleman",4.0,3.0,2.0,135,165
5500000000.0,"Depok, Sleman",3.0,2.0,0.0,275,275
4750000000.0,"Mlati, Sleman",5.0,6.0,2.0,267,340
2000000000.0,"Depok, Sleman",14.0,14.0,2.0,196,230
1400000000.0,"Depok, Sleman",3.0,2.0,2.0,205,150
765000000.0,"Gamping, Sleman",3.0,2.0,2.0,109,80
2200000000.0,"Condong Catur, Sleman",3.0,3.0,1.0,139,125
3100000000.0,"Kasihan, Bantul",5.0,3.0,0.0,146,290
9900000000.0,"Ngaglik, Sleman",4.0,4.0,5.0,3400,550
7500000000.0,"Ngaglik, Sleman",8.0,8.0,5.0,1000,350
2500000000.0,"Bantul, Bantul",6.0,4.0,0.0,128,130
1950000000.0,"Depok, Sleman",3.0,3.0,1.0,128,188
10000000000.0,"Sleman, Sleman",5.0,3.0,0.0,848,427
1080000000.0,"Ngaglik, Sleman",3.0,2.0,2.0,147,85
